id,section_id,name
1,1,9205 - Forging & HT Prod. Eng.
2,2,9205 - Machining Prod. Eng.
3,3,9291 - PE CRANK SHAFT
4,3,9561 - PE G&A ASSY CRANK 
5,4,9288 - PE PISTON
6,5,9555 - PE G&A #3
7,6,9201 - Engineering System
8,7,9201 - New Model Preparation
9,8,9203 - PROD.II DEP. COMMON
10,8,9204 - PROD.II POC
11,8,9206 - QC II
12,8,9207 - QE PRODUCTION II
13,8,9211 - MAINTENANCE II
14,8,9212 - MATERIAL CONTROL G&A
15,9,9213 - DIES SETTING
16,9,9214 - DIES MAKING
17,9,9221 - HOT FORGING 
18,9,9223 - ECVT FORGING
19,9,9224 - TRIMMING
20,9,9225 - CUTTING FORGING
21,9,9226 - ANNEALLING
22,9,9227 - BONDE GEAR
23,9,9222 - COLD FORGING
24,9,9220 - FORGING COMMON
25,9,9241 - CUTTING & CHAMFERING
26,9,9242 - BONDE AXLE
27,9,9243 - PRESS AXLE
28,9,9244 - CENTERING AXLE
29,9,9245 - G&A FORGING MAINTENANCE
30,9,9246 - G&A QC FORGING
31,10,9215 - TOOL MAINTENANCE
32,10,9230 - GEAR MACHINING COMMON
33,10,9231 - GEAR MACHINING PKG NO BR
34,10,"9232 - GEAR MACHINING PKG SHAPER, GPD, CD"
35,10,9235 - ECVT MACHINING BEFORE
36,10,9250 - AXLE MACHINING COMMON
37,10,"9251 - AXLE MACHINING PKG AM, AD"
38,10,9253 - BALANCER GEAR MACHINING
39,10,9254 - PACKAGE MACHINING A/T
40,11,9261 - HEAT TREATMENT
41,11,9262 - G&A HT MAINTENANCE
42,11,9263 - G&A QC HEAT TREATMENT
43,11,9264 - ECVT HEAT TREATMENT
44,12,9233 - GEAR AFTER HT
45,12,9234 - PLATTING
46,12,9236 - ECVT MACHINING AFTER
47,12,9237 - ECVT MACHINING ASSY
48,12,9249 - GEAR MACHINING PKG BR
49,12,9252 - AXLE AFTER HT
50,12,"9271 - ASSY, FINAL CHECK & PACKING"
51,12,9256 - G&A QC MACHINING  
52,13,9273 - CRANK SHAFT MACHINING BEF. H/T
53,13,9275 - CRANK SHAFT QC
54,13,9276 - CRANK SHAFT ASSY
55,13,9277 - CRANK SHAFT MACHINING AFTER
56,13,9292 - CRANK SHAFT MAINTENANCE
57,13,9518 - MACHINING ASSY CRANK
58,14,9278 - PISTON QC
59,14,9279 - PISTON FORGING
60,14,9280 - PISTON COMMON
61,14,9281 - PISTON MACHINING
62,14,9282 - PISTON PLATTING
63,14,9283 - PISTON FINAL & PACKING
64,14,9284 - PISTON  MAINTENANCE
65,14,9285 - PISTON  SN ELECTROLESS PLATING
66,14,9286 - MATERIAL CONTROL PISTON
67,14,9287 - RESIN COATING PISTON
